Date,Open,High,Low,Close,Adj Close,Volume,Return
1991/1/2,330.200012,330.75,326.450012,326.450012,326.450012,126280000,
1991/1/3,326.459991,326.529999,321.899994,321.910004,321.910004,141450000,-0.013907207
1991/1/4,321.910004,322.350006,318.869995,321,321,140820000,-0.002826889
1991/1/7,320.970001,320.970001,315.440002,315.440002,315.440002,130610000,-0.017320866
1991/1/8,315.440002,316.970001,313.790009,314.899994,314.899994,143390000,-0.00171192
1991/1/9,314.899994,320.730011,310.929993,311.48999,311.48999,191100000,-0.010828847
1991/1/10,311.51001,314.769989,311.51001,314.529999,314.529999,124510000,0.009759572
1991/1/11,314.529999,315.23999,313.589996,315.230011,315.230011,123050000,0.002225581
1991/1/14,315.230011,315.230011,309.350006,312.48999,312.48999,120830000,-0.008692132
1991/1/15,312.48999,313.730011,311.839996,313.730011,313.730011,110000000,0.003968194
1991/1/16,313.730011,316.940002,312.940002,316.170013,316.170013,134560000,0.007777394
1991/1/17,316.25,327.970001,316.25,327.970001,327.970001,319080000,0.037321655
1991/1/18,327.929993,332.230011,327.079987,332.230011,332.230011,226770000,0.012989023
1991/1/21,332.230011,332.230011,328.869995,331.059998,331.059998,136290000,-0.003521696
1991/1/22,331.059998,331.26001,327.829987,328.309998,328.309998,177060000,-0.008306651
1991/1/23,328.299988,331.040009,327.929993,330.209991,330.209991,168620000,0.005787192
1991/1/24,330.209991,335.829987,330.190002,334.779999,334.779999,223150000,0.013839702
1991/1/25,334.779999,336.920013,334.200012,336.070007,336.070007,194350000,0.003853301
1991/1/28,336.059998,337.410004,335.809998,336.029999,336.029999,141270000,-0.000119047
1991/1/29,336.029999,336.029999,334.26001,335.839996,335.839996,155740000,-0.000565435
1991/1/30,335.799988,340.910004,335.709991,340.910004,340.910004,226790000,0.015096499
1991/1/31,340.920013,343.929993,340.470001,343.929993,343.929993,204520000,0.008858611
1991/2/1,343.910004,344.899994,340.369995,343.049988,343.049988,246670000,-0.002558675
1991/2/4,343.049988,348.709991,342.959991,348.339996,348.339996,250750000,0.015420516
1991/2/5,348.339996,351.839996,347.209991,351.26001,351.26001,290570000,0.008382655
1991/2/6,351.26001,358.070007,349.579987,358.070007,358.070007,276940000,0.019387339
1991/2/7,358.070007,363.429993,355.529999,356.519989,356.519989,292190000,-0.004328813
1991/2/8,356.519989,359.350006,356.019989,359.350006,359.350006,187830000,0.007937892
1991/2/11,359.359985,368.579987,359.320007,368.579987,368.579987,265350000,0.025685212
1991/2/12,368.579987,370.540009,365.5,365.5,365.5,256160000,-0.00835636
1991/2/13,365.5,369.48999,364.640015,369.019989,369.019989,209960000,0.009630613
1991/2/14,369.019989,370.26001,362.769989,364.220001,364.220001,230750000,-0.013007393
1991/2/15,364.230011,369.48999,364.230011,369.059998,369.059998,228480000,0.013288663
1991/2/19,369.059998,370.109985,367.049988,369.390015,369.390015,189900000,0.00089421
1991/2/20,369.369995,369.369995,364.380005,365.140015,365.140015,185680000,-0.011505454
1991/2/21,365.140015,366.790009,364.5,364.970001,364.970001,180770000,-0.000465613
1991/2/22,364.970001,370.959991,364.230011,365.649994,365.649994,218760000,0.001863148
1991/2/25,365.649994,370.190002,365.160004,367.26001,367.26001,193820000,0.004403162
